claim_id,section_id,section,domain,record_id,target_label,field,field_label,value_kind,baseline_value,current_value,proposed_value,current_status,current_verification_status,research_note,resolution_status,evidence_tier,confidence,estimate_rationale,source_1_title,source_1_url,source_1_publisher,source_1_published_date,source_1_accessed_date,source_1_excerpt,source_2_title,source_2_url,source_2_publisher,source_2_published_date,source_2_accessed_date,source_2_excerpt,source_3_title,source_3_url,source_3_publisher,source_3_published_date,source_3_accessed_date,source_3_excerpt
auto_claim__career_comp_profiles__ANTHROPIC__annualRsu,career-comp,Career Compensation,career_comp_profiles,ANTHROPIC,Anthropic,annualRsu,Annual RSU,currency,100000,100000,,record_level_placeholder,seed_default,Research and verify annual rsu for Anthropic.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__ANTHROPIC__baseSalary,career-comp,Career Compensation,career_comp_profiles,ANTHROPIC,Anthropic,baseSalary,Base Salary,currency,400000,400000,,record_level_placeholder,seed_default,Research and verify base salary for Anthropic.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__ANTHROPIC__bonusPct,career-comp,Career Compensation,career_comp_profiles,ANTHROPIC,Anthropic,bonusPct,Bonus,percent,0.0,0.0,,record_level_placeholder,seed_default,Research and verify bonus for Anthropic.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__ANTHROPIC__growthRate,career-comp,Career Compensation,career_comp_profiles,ANTHROPIC,Anthropic,growthRate,Growth,percent,0.05,0.05,,record_level_placeholder,seed_default,Research and verify growth for Anthropic.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__ANTHROPIC__notes,career-comp,Career Compensation,career_comp_profiles,ANTHROPIC,Anthropic,notes,Notes,,Reference compensation profile used by path selectors.,Reference compensation profile used by path selectors.,,record_level_placeholder,seed_default,Research and verify notes for Anthropic.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__ANTHROPIC__label,career-comp,Career Compensation,career_comp_profiles,ANTHROPIC,Anthropic,label,Profile,,Anthropic,Anthropic,,record_level_placeholder,seed_default,Research and verify profile for Anthropic.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__ANTHROPIC__profileType,career-comp,Career Compensation,career_comp_profiles,ANTHROPIC,Anthropic,profileType,Track,,research_employer,research_employer,,record_level_placeholder,seed_default,Research and verify track for Anthropic.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__CONSERVATIVE__annualRsu,career-comp,Career Compensation,career_comp_profiles,CONSERVATIVE,Conservative Default,annualRsu,Annual RSU,currency,30000,30000,,record_level_placeholder,seed_default,Research and verify annual rsu for Conservative Default.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__CONSERVATIVE__baseSalary,career-comp,Career Compensation,career_comp_profiles,CONSERVATIVE,Conservative Default,baseSalary,Base Salary,currency,220000,220000,,record_level_placeholder,seed_default,Research and verify base salary for Conservative Default.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
auto_claim__career_comp_profiles__CONSERVATIVE__bonusPct,career-comp,Career Compensation,career_comp_profiles,CONSERVATIVE,Conservative Default,bonusPct,Bonus,percent,0.1,0.1,,record_level_placeholder,seed_default,Research and verify bonus for Conservative Default.,,,,,Planner seed default,,Planner seed default,,,Record-level placeholder source reused across sourceable fields for this record.,,,,,,,,,,,,
